"cost" "thr" "target.size" "theta" "h2" "Ne" "mu" "rho" "b" "gamma" "env.sd" "norm.prev"
"125" 0.67 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00686588037874303
"126" 0.7 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00653389003593718
"127" 0.73 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00623130176336095
"128" 0.76 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00595443242871541
"129" 0.79 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00570018465443523
"130" 0.82 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00546593537847673
"131" 0.85 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00524944884257417
"132" 0.88 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00504880799549134
"133" 0.91 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0048623599297678
"134" 0.94 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00468867212067314
"135" 0.97 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00452649705784736
"136" 1 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0043747434543151
"137" 0.01 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 NA
"138" 0.04 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.351193626612528
"139" 0.07 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.130331538725195
"140" 0.1 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0797699449187135
"141" 0.13 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0568036370162814
"142" 0.16 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0437821994773901
"143" 0.19 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0354450406678393
"144" 0.22 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0296742747220231
"145" 0.25 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0254560400779325
"146" 0.28 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0222456211723775
"147" 0.31 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0197249740675982
"148" 0.34 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0176963075697489
"149" 0.37 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0160303572333865
"150" 0.4 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0146391859578843
"151" 0.43 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0134609561794212
"152" 0.46 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0124509560528094
"153" 0.49 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.011576080123021
"154" 0.52 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0108113093771717
"155" 0.55 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0101373953996793
"156" 0.58 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.00953929494762551
"157" 0.61 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.00900508636762154
"158" 0.64 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.00852520362811882
